Comment,Designator,Footprint,LCSC
1000,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
LED,D6,LED_D5.0mm,
LED,D8,LED_D5.0mm,
LED,D1,LED_D5.0mm,
AO3400A,Q1,SOT-23,
LED,D5,LED_D5.0mm,
LED,D4,LED_D5.0mm,
1.5,R11,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
C_Polarized,C1,C_Radial_D6.3mm_H11.0mm_P2.50mm,
LED,D7,LED_D5.0mm,
SPARKFUN_PRO_MICRO,B1,SPARKFUN_PRO_MICRO,
LED,D2,LED_D5.0mm,
1.5,R13,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
TL3342F160QG,S1,SW_TL3342F160QG,
1.5,R10,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
1.5,R12,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
LED,D3,LED_D5.0mm,
OPT101P,U2,DIP762W46P254L952H419Q8,
OPT101P,U1,DIP762W46P254L952H419Q8,
Polyfuse,F1,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
